دانشكده درس 	دانشكده درس 	گروه آموزشي 	گروه آموزشي 	شماره و گروه درس	نام درس	کل	ع	ظر فيت	ثبت نام شده	تعداد ليست انتظار	جنسيت	نام استاد	زمان و مكان ارائه/ امتحان	توضيحات	امكان اخذ درس توسط ساير مراكز	حذف اضطراري
14	فني و مهندسي	11	برق	1411045_01	جبرخطي	3	0	10	5	0	مختلط	ملاحسني سميه<BR>	درس(ت): شنبه 10:00-12:00 مکان: 124 فني و مهندسي<BR> حل تمرين(ت): چهارشنبه 10:00-12:00 مکان: 119 فني و مهندسي<BR> امتحان(1404.10.18) ساعت : 14:00-16:00<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411049_01	ابزار دقيق	3	0	25	23	0	مختلط	فاتحي مرج حسن<BR>	درس(ت): شنبه 15:30-17:30 مکان: كلاس 302 فني مهندسي<BR> درس(ت): سه شنبه 13:30-14:30 مکان: 331 فني و مهندسي<BR> حل تمرين(ت): سه شنبه 14:30-15:30 مکان: 331 فني و مهندسي<BR> امتحان(1404.11.01) ساعت : 14:00-16:00<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411050_01	رياضيات مهندسي پيشرفته	3	0	15	1	0	مختلط	نوري رحمت آباد حسين<BR>	درس(ت): يك شنبه 08:00-10:00 مکان: فني 245<BR> درس(ت): دوشنبه 08:00-10:00 مکان: فني 245<BR> امتحان(1404.10.22) ساعت : 10:30-12:30<BR> 		-	امكان ندارد
14	فني و مهندسي	11	برق	1411057_01	اقتصادمهندسي	3	0	40	28	0	مختلط	معمارزاده غلامرضا<BR>	درس(ت): يك شنبه 08:00-10:00 مکان: 232 فني و مهندسي<BR> درس(ت): دوشنبه 08:00-09:00 مکان: 232 فني و مهندسي<BR> حل تمرين(ت): دوشنبه 09:00-10:00 مکان: 232 فني و مهندسي<BR> امتحان(1404.10.30) ساعت : 10:30-12:30<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411063_01	شبكه هاي عصبي	3	0	25	14	0	مختلط	قيومي زاده حسين<BR>	درس(ت): يك شنبه 13:30-15:30 مکان: 232 فني و مهندسي<BR> درس(ت): دوشنبه 13:30-15:30 مکان: 139 فني و مهندسي<BR> امتحان(1404.10.28) ساعت : 10:30-12:30<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411068_01	سيگنالها و سيستم ها	3	0	30	20	0	مختلط	قلي زاده محمد حسين<BR>	درس(ت): شنبه 08:00-10:00 مکان: 232 فني و مهندسي<BR> درس(ت): سه شنبه 08:00-09:00 مکان: 232 فني و مهندسي<BR> حل تمرين(ت): سه شنبه 09:00-10:00 مکان: 232 فني و مهندسي<BR> امتحان(1404.10.17) ساعت : 10:30-12:30<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411068_02	سيگنالها و سيستم ها	3	0	20	8	0	مختلط	قلي زاده محمد حسين<BR>	درس(ت): شنبه 10:00-12:00 مکان: 229 فني و مهندسي<BR> درس(ت): دوشنبه 10:00-11:00 مکان: 229 فني و مهندسي<BR> حل تمرين(ت): دوشنبه 11:00-12:00 مکان: 229 فني و مهندسي<BR> امتحان(1404.10.17) ساعت : 10:30-12:30<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411069_01	الكترونيك1	2	0	40	40	0	مختلط	بماني گلنا آبادي محسن<BR>	درس(ت): چهارشنبه 15:30-17:30 مکان: 232 فني و مهندسي<BR> امتحان(1404.10.21) ساعت : 08:00-10:00<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411070_01	الكترونيك2	2	0	30	25	0	مختلط	بماني گلنا آبادي محسن<BR>	درس(ت): چهارشنبه 13:30-15:30 مکان: 232 فني و مهندسي<BR> امتحان(1404.10.23) ساعت : 08:00-10:00<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411072_01	ماشين هاي الكتريكي 2	2	0	25	15	0	مختلط	معمارزاده غلامرضا<BR>	درس(ت): شنبه 13:30-15:30 مکان: ك345فني<BR> امتحان(1404.10.22) ساعت : 10:30-12:30<BR> 		-	امكان دارد
